번호,신고일자,법인또는상호,운영상태,"소재지주소(도로명주소, 없으면 지번주소)",호스트서버 업체명,호스트서버 도메인명,호스트서버 도메인유형,취급품목,취급품목세부사항,판매방식
1070,20151222,굿바이카,정상영업,경기도 양주시 광적면 삼일로 77-24,비비웹 호스팅,www.goodbyecar.co.kr,개인,자동차/자동차용품,-,인터넷
1071,20120918,킹스톤(KingStone),정상영업,경기도 양주시 고덕로355번길 68-10 (고읍동),11번가  옥션  G마켓,-,-,기타,일회용품 및 이용,인터넷
1072,20151218,에스디샵(SDshop),정상영업,경기도 양주시 화합로1426번길 39， 107동 1403호 (덕정동， 은동마을주공1단지아파트),-,오픈마켓,오픈,기타 의류/패션/잡화/뷰티,플라스틱 제품,인터넷
1073,20151218,쨈스(JJEM's),정상영업,경기도 양주시 옥정동 791번지 4호,-,blog.naver.com/jjemsplant,개인,의류/패션/잡화/뷰티,-,인터넷
1074,20070618,월드유통,정상영업,경기도 양주시 천보산로 176-36 (회암동),-,옥션.G마켓.11번가.인터파크,-,가구/수납용품,-,인터넷
1075,20151216,애니원(Any One)스마트,정상영업,경기도 양주시 고읍로 117-21， 602동 504호 (만송동， 은빛마을 휴먼시아6단지),-,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1076,20151215,이선푸드,정상영업,경기도 양주시 은현면 운하로528번길 239-14， 1층,-,오픈마켓,오픈,건강/식품,-,인터넷
1077,20141006,(주) 터치그라운드,정상영업,경기도 양주시 평화로1597번길 107 (회정동),-,www.touchground.co.kr,-,의류/패션/잡화/뷰티,의류 패션 잡화 뷰티,인터넷
1078,20150716,바오 퍼니쳐,정상영업,경기도 양주시 새터로 37， 116동 101호 (옥정동， 세창리베하우스아파트),-,지마켓  옥션,-,가구/수납용품,-,인터넷
1079,20151210,주식회사 삼일오토,정상영업,경기도 양주시 은현면 화합로720번길 67,-,오픈마켓,오픈,자동차/자동차용품,자동차중고부품,인터넷
1080,20070110,키즈아이,정상영업,경기도 양주시 고암길 305-40， 402동 1303호 (덕정동， 청담마을주공4단지아파트),-,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1081,20151210,루나 하우스,정상영업,경기도 양주시 백석읍 호명로154번길 92-29， C동,심플렉스인터넷(주),www.lunahouse.co.kr,개인,기타 의류/패션/잡화/뷰티 가구/수납용품 종합몰 레져/여행/공연,애견용품,인터넷 TV홈쇼핑
1082,20151209,(주) 헤라,정상영업,경기도 양주시 고읍남로 20-5， 5층，6층 (광사동， RG세원프라자2),-,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1083,20151209,주식회사 락빌리지,정상영업,경기도 양주시 외미로 14 (남방동),심플렉스인터넷(주),www.fairedelaine.com/,개인,의류/패션/잡화/뷰티,-,인터넷
1084,20151209,엄마의 간식,정상영업,경기도 양주시 백석읍 양주산성로 838-71， 101동 106호 (서광아침의빛아파트),네이버밴드,http://band.us/n/a8abpdNdmd9eX,개인,건강/식품 의류/패션/잡화/뷰티,구매대행식품,인터넷
1085,20151209,짱러커뮤니케이션,정상영업,경기도 양주시 광적면 그루고개로152번길 66-5,카페24,twojobmarket.com,개인,기타,정보몰사이트  인터넷광고,인터넷
1086,20151209,소가동,정상영업,경기도 양주시 만송로373번길 39-9 (만송동),심플렉스(주),sogadong.co.kr,개인,가구/수납용품,-,인터넷
1087,20151209,엠큐스타일,정상영업,경기도 양주시 평화로1438번길 11-12， 201동 10층 1001호 (덕계동， 금광포란재아파트),-,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1088,20151209,현대화분,정상영업,경기도 양주시 장흥면 일영로 350， 1층,-,hdhwabun.com,개인,기타,화훼 및 화훼자재,인터넷
1089,20090206,DC몰,정상영업,경기도 양주시 백석읍 부흥로 453-18， 가동,-,오픈마켓,-,기타,중고TV,인터넷
1090,20151208,예빈공방,정상영업,경기도 양주시 백석읍 오산리 544번지,카페24,www.예빈공방.com,개인,가구/수납용품,-,인터넷
1091,20151207,대한모터스,정상영업,경기도 양주시 백석읍 중앙로93번길 129， 2층,-,cafe.daum.net/pjh4224,개인,자동차/자동차용품,-,인터넷
1092,20151204,해니삔,정상영업,경기도 양주시 삼숭로38번길 78-30， 112동 402호 (삼숭동， 양주자이1단지아파트),-,cafe.naver.com/257942,개인,기타,핸드메이드핀  악세사리,인터넷
1093,20151204,세릴러문,정상영업,경기도 양주시 고암길 275， 313동 1503호 (고암동， 동안마을주공3단지아파트),-,mkh846.blog.me,개인,의류/패션/잡화/뷰티,-,인터넷
1094,20131230,제이제이티(JJT),정상영업,경기도 양주시 삼숭로38번길 78-30， 111동 1001호 (삼숭동， 양주자이1단지아파트),-,지마켓 옥션,-,종합몰 의류/패션/잡화/뷰티 기타,-,인터넷
1095,20141020,주식회사 씨큐닉스,정상영업,경기도 양주시 백석읍 권율로1398번길 182， 씨동 1층,-,www.cctvup.co.kr,개인,컴퓨터/사무용품 기타,cctv외,인터넷
1096,20051104,배꼽키즈,정상영업,경기도 양주시 고읍남로 32， 7층 (광사동， 양주프라임타워),-,오픈마켓(G마켓 옥션 11번가 인터파크),오픈,의류/패션/잡화/뷰티,의류 잡화,인터넷
1097,20151201,세명기획,정상영업,경기도 양주시 평화로1479번길 12， A동 3층 303호 (덕계동， 원재빌딩),심플렉스인터넷(주),www.smartparty.kr,개인,기타,돌상대여,인터넷
1098,20151130,믿고 사고 닷컴,폐업처리,경기도 양주시 평화로1429번길 89-94， 107동 903호 (덕계동， 금광포란재아파트),-,G마켓/옥션,오픈,기타,휴대폰거치대,인터넷
1099,20151130,은우네,정상영업,경기도 양주시 은현면 은현로 309， 2층,-,오픈마켓(인터파크),오픈,자동차/자동차용품,-,인터넷
1100,20151126,주식회사 이븐홈,타시군구이관,경기도 양주시 광적면 부흥로 847， 319호 (양주테크노시티),네이버 스토어팜,오픈마켓(네이버 스토어팜),오픈,가구/수납용품 기타,주방  청소 욕실용품,인터넷
1101,20151125,실버몰,정상영업,경기도 양주시 은현면 운하로528번길 206,-,blog.naver.com/bjnam83,개인,의류/패션/잡화/뷰티,-,인터넷
1102,20151125,행복한복지재단영농조합법인,정상영업,경기도 양주시 광적면 지섬로214번길 15-10,-,happy0675.com,개인,건강/식품,-,인터넷
1103,20130913,영신산업,정상영업,경기도 양주시 청담로84번길 83-1 (고읍동),-,오픈마켓(11번가),오픈,의류/패션/잡화/뷰티 기타,주방용품,인터넷
1104,20151123,디엔아이 스티커,정상영업,경기도 양주시 평화로1429번길 57， 라동 208호 (덕계동， 대원주택),(주)고도소프트,dnisticker.co.kr,개인,자동차/자동차용품,-,인터넷
1105,20151123,애플바니,정상영업,경기도 양주시 고읍남로39번길 48， 111동 701호 (광사동， 해동마을신도브래뉴아파트),심플렉스인터넷(주),www.applebonny.com,개인,의류/패션/잡화/뷰티,-,인터넷
1106,20151119,캠프앤아웃도어,정상영업,경기도 양주시 고읍남로39번길 48， 113동 901호 (광사동， 해동마을신도브래뉴아파트),-,오픈마켓(네이버),오픈,의류/패션/잡화/뷰티 레져/여행/공연,-,인터넷
1107,20151119,미민코(Miminko),정상영업,경기도 양주시 삼숭로38번길 78-12， 203동 901호 (삼숭동， 양주자이2단지아파트),-,오픈마켓(옥션 G마켓 11번가),오픈,종합몰,-,인터넷 기타
1108,20151119,명지,정상영업,경기도 양주시 고암길 305-40， 411동 2104호 (덕정동， 청담마을주공4단지아파트),-,오픈마켓(옥션 G마켓 인터파크),오픈,의류/패션/잡화/뷰티,-,인터넷
1109,20151117,바움,정상영업,경기도 양주시 광적면 광적로 201-25， 2층,-,오픈마켓(11번가),오픈,기타,건축자재  환풍기류,인터넷
1110,20140924,레인보우(RAINBOW),정상영업,경기도 양주시 청담로 308-122 (고암동),-,네이버스토어팜,오픈,의류/패션/잡화/뷰티,-,인터넷
1111,20151027,에스에이치(SH Commerce),타시군구이관,경기도 양주시 청담로 283 (고암동),-,오픈마켓,-,기타 가전 가구/수납용품,주방용품  생활용품,인터넷
1112,20151116,다소미,정상영업,경기도 양주시 부흥로 1901， 803동 1201호 (광사동， 신도8차푸른숲아파트),-,G마켓 11번가,오픈,기타,침구류(이불),인터넷
1113,20151112,장흥버섯 영농조합법인,정상영업,경기도 양주시 장흥면 일영로769번길 24-16,-,www.아가리.kr,개인,건강/식품,액상차  버섯,인터넷
1114,20151112,도우원F.N.B,정상영업,경기도 양주시 은현면 운하로 300-1,-,G마켓 옥션,오픈,건강/식품 기타,소스류  식기세척기,인터넷
1115,20151112,비비드로켓(Vivid Rocket),정상영업,경기도 양주시 백석읍 꿈나무로 15-1， 502호 (수연아트빌),-,www.vividrocket.com,개인,종합몰 건강/식품,-,인터넷
1116,20090325,비에치에스,정상영업,경기도 양주시 백석읍 꿈나무로 149， 2층 (진보빌딩),-,옥션 지마켓 11번가,-,의류/패션/잡화/뷰티,-,인터넷
1117,20151110,로스트픽셀,타시군구이관,경기도 양주시 장흥면 가마골로 9， 101동 1406호 (푸른마을아파트),카페24,www.lostpixel.co.kr,모두사용,의류/패션/잡화/뷰티,-,인터넷
1118,20151110,큐에스티 코리아,정상영업,경기도 양주시 평화로1429번길 17-32 (덕계동),-,qstkorea.com,개인,기타,운동기구,인터넷
1119,20151110,성군애드,정상영업,경기도 양주시 고읍북로 120， 803동 1208호 (만송동， 은빛마을휴먼시아8단지아파트),-,www.sgad.kr,개인,기타,인쇄물 실사출력물,인터넷
1120,20151110,주식회사 아이비,정상영업,경기도 양주시 광적면 삼일로247번길 68,-,11번가 옥션 G마켓 티몬 쿠팡 위메프 네이버,오픈,-,물티슈,인터넷
1121,20151109,기브어스,타시군구이관,경기도 양주시 옥정동로 257， 710동 1606호 (옥정동， 율정마을7단지아파트),-,www.giveus.co.kr,개인,의류/패션/잡화/뷰티,-,인터넷
1122,20151109,주식회사 카즈,정상영업,경기도 양주시 광적면 그루고개로 28,-,옥션,오픈,자동차/자동차용품,-,인터넷
1123,20151109,허브의선물,폐업처리,경기도 양주시 고암길 275， 313동 1402호 (고암동， 동안마을주공3단지아파트),-,www.Gohernalife.com/slim-body/ko-kr,개인,건강/식품,-,인터넷
1124,20151109,쏘욱,정상영업,경기도 양주시 만송로285번길 30 (만송동),네이버,-,오픈,의류/패션/잡화/뷰티,-,인터넷
1125,20151106,리센티멘트(Lysentiment),정상영업,경기도 양주시 은현면 은현로 495， A동 105호 (국민빌라),네이버,blog.naver.com/sdudtmls,개인,의류/패션/잡화/뷰티,-,인터넷
1126,20150527,바이민이,정상영업,경기도 양주시 고읍남로39번길 84， 312동 901호 (광사동， 해동마을한양수자인아파트),-,http://m.blog.naver.com/simminha123,-,의류/패션/잡화/뷰티,-,인터넷
1127,20151104,365부동산중개사무소,폐업처리,경기도 양주시 부흥로 2094， 상가동 101호 (삼숭동， TS푸른솔3차아파트),네이버,sell.storefarm.naver,오픈,건강/식품,-,인터넷
1128,20151103,아르고(ARGO),정상영업,경기도 양주시 광적면 삼일로 167， 가동,네이버주식회사,네이버,오픈,기타,오락기,인터넷
1129,20151103,다판다(안나)기프트몰,정상영업,경기도 양주시 고덕로139번길 361-21， 102동 211호 (덕계동， 현대아파트),가미아,www.dapanda-gift.com,개인,의류/패션/잡화/뷰티,잡화,인터넷
1130,20070927,주식회사 카라반,정상영업,경기도 양주시 은현면 용암로265번길 139-24,-,scaravan.co.kr,-,종합몰 기타,-,인터넷
1131,20151103,에스와이,폐업처리,경기도 양주시 삼숭로38번길 78-30， 110동 604호 (삼숭동， 양주자이1단지아파트),-,-,-,건강/식품,삼체분말,카다로그 기타
1132,20151102,경원전동공구,정상영업,경기도 양주시 백석읍 꿈나무로 298， 302동 1302호 (세아청솔아파트),-,옥션,오픈,기타,중고공구,인터넷
1133,20151102,씨엠홀딩스 주식회사,타시군구이관,경기도 양주시 화합로1402번길 38， 2층 203호 (덕정동),whois,www.laintoy.com,개인,교육/도서/완구/오락 컴퓨터/사무용품,장난감완구  사무용품,인터넷
1134,20151030,돈피치오,정상영업,경기도 양주시 고읍남로39번길 77， 1층 104， 105， 106호 (광사동),카페24,pizzaday.co.kr,개인,건강/식품,피자,인터넷
1135,20151028,링콤,정상영업,경기도 양주시 송랑로 223， 2층 2호 (만송동),-,www.linkom.co.kr,개인,기타,온라인정보제공,인터넷
1136,20151028,주식회사 사운드컴,정상영업,경기도 양주시 양주산성로164번길 91 (남방동),-,www.soundcom.co.kr,개인,기타,음향기기,인터넷
1137,20151028,레이디가구,정상영업,경기도 양주시 부흥로1267번길 77-7 (유양동),-,본가구.com,개인,가구/수납용품,가구,인터넷
1138,20151028,꼬마옷짱,정상영업,경기도 양주시 옥정동로 162， 1305동 2604호 (옥정동， 율정마을13단지아파트),카페24,www.꼬마옷짱.com,개인,의류/패션/잡화/뷰티,의류,인터넷
1139,20150914,최오,정상영업,경기도 양주시 고읍북로 15， 503동 1204호 (만송동， 은빛마을휴먼시아5단지아파트),-,www.choioh.com,-,기타,휴대폰 케이스,인터넷
1140,20151028,동문가구,정상영업,경기도 양주시 고덕로355번길 28-9 (고읍동),네이버,-,-,가구/수납용품,가구,인터넷
1141,20151023,드보라,정상영업,경기도 양주시 화합로1325번길 22-33， 203동 1401호 (덕정동， 서희스타힐스아파트2단지),-,-,-,건강/식품 기타,-,-
1142,20151023,드보라,정상영업,경기도 양주시 화합로1325번길 22-33， 203동 1401호 (덕정동， 서희스타힐스아파트2단지),-,www.naver.com,개인,건강/식품 기타,-,인터넷
1143,20110818,케빈,정상영업,경기도 양주시 고암길 353， 514동 1801호 (덕정동， 봉우마을주공5단지),오픈,옥션/지마켓/11번가,-,기타,사진,인터넷
1144,20151020,에스제이스포츠,정상영업,경기도 양주시 평화로1570번길 36， 104동 1003호 (회정동， 양주회정범양아파트),-,오픈마켓,오픈,기타,스포츠용품,인터넷
1145,20151019,가죽의 모든것,정상영업,경기도 양주시 고읍로 76 (광사동， 양주농협 덕현지점),-,http://blog.naver.com/lmg_1,개인,의류/패션/잡화/뷰티,-,인터넷
1146,20150706,코렌스(CORENS),정상영업,경기도 양주시 평화로1570번길 36， 102동 1803호 (회정동， 양주회정범양아파트),-,http://www.11st.co.kr,-,컴퓨터/사무용품 기타,사무용기기,인터넷 기타
1147,20151014,YG오피스&YG코리아,폐업처리,경기도 양주시 삼숭로38번길 190， 507동 805호 (삼숭동， 양주자이5단지아파트),-,www.o-pro.co.kr,개인,컴퓨터/사무용품,-,인터넷
1148,20151014,헤이미슈(Heimishoe),정상영업,경기도 양주시 고암길 306-40， 214동 1202호 (고암동， 주원마을주공2단지아파트),-,www.heimishoe.com,개인,의류/패션/잡화/뷰티,-,인터넷
1149,20151013,잘자람,폐업처리,경기도 양주시 백석읍 부흥로 1172-3,cafe24,www.chammine.co.kr,개인,기타,유기농업자재,인터넷
1150,20151013,현우,정상영업,경기도 양주시 평화로1416번길 58-31， 101호 (덕계동),-,11번가. 옥션. G마켓,오픈,종합몰,-,인터넷
1151,20151013,꼼공,정상영업,경기도 양주시 부흥로 2194-37 (삼숭동),cafe24,꼼공,개인,의류/패션/잡화/뷰티,-,인터넷
1152,20111121,스킨스타일,정상영업,경기도 양주시 고덕로 89， 101동 1202호 (덕계동， 양주푸르지오아파트),후이즈,www.skinstyle.co.kr,-,의류/패션/잡화/뷰티,-,인터넷
1153,20140807,브이아이피코스메틱,정상영업,경기도 양주시 은현면 그루고개로 296， 가동,-,www.vipcosmetic.co.kr,-,,,
1155,20151014,라룸410,정상영업,경기도 양주시 삼숭로38번길 55， 304동 1406호 (삼숭동， 양주자이3단지아파트),-,http://story.kakao.com/ch/laroom410,개인,의류/패션/잡화/뷰티,-,인터넷
1156,20091230,이포트,영업재개,경기도 양주시 장흥면 일영로327번길 105-5,-,www.e-pot.co.kr,-,기타,화분 및 부자재,인터넷 카다로그 신문잡지 기타
1157,20151008,뉴로하스(New Lohas),정상영업,경기도 양주시 고읍남로39번길 129-10， 103호 (광사동， 가람아트빌상가),-,오픈마켓,오픈,건강/식품,-,인터넷
1158,20151007,에스지에스,정상영업,경기도 양주시 장흥면 호국로550번길 171-17,-,옥션,오픈,의류/패션/잡화/뷰티,-,인터넷
1159,20120919,adreaming,정상영업,경기도 양주시 장흥면 가마골로 40-8， 상가동 201，202호 (우남송추마을아파트),카페24,www.adreaming.com,-,건강/식품 기타,홈베이킹류,인터넷
1160,20151006,매직푸드시스템,정상영업,경기도 양주시 광적면 광적로227번길 57-42,-,티켓몬스터,오픈,건강/식품,-,인터넷
1161,20151006,떡볶이 앤 디저트,폐업처리,경기도 양주시 광적면 삼일로29번길 46， 1층,-,떡볶이 앤 디저트,개인,기타,마카롱,기타
1162,20151006,원더우먼(Wonder Woman),정상영업,경기도 양주시 백석읍 부흥로1000번길 19， 502호 (대성아트빌라),-,지마켓,개인,의류/패션/잡화/뷰티,-,인터넷
1163,20140722,인정시스템,정상영업,경기도 양주시 장흥면 권율로 84,-,ij0101,-,종합몰,-,TV홈쇼핑 인터넷
1164,20151005,착한 꼬마,타시군구이관,경기도 양주시 남면 삼일로 851-87,-,http://www.nicekkoma.com,개인,의류/패션/잡화/뷰티,-,인터넷
1165,20151005,서울양말,정상영업,경기도 양주시 장흥면 가마골로 223,-,서울양말,개인,의류/패션/잡화/뷰티,-,인터넷
1166,20151002,트렌드 트랜스,폐업처리,경기도 양주시 덕정6길 5 (덕정동),-,http://www.t-r-e-n-d-t-r-a-n-s.com,개인,의류/패션/잡화/뷰티,-,인터넷
1167,20151005,에스와이아이지엠(SYIGM),정상영업,경기도 양주시 광적면 현석로495번길 140， 2호,-,www.ariarang.co.kr,개인,가구/수납용품 기타,유아 생활용품,인터넷
1168,20151005,주식회사 에프에스유통,정상영업,경기도 양주시 만송로366번길 8 (만송동),-,지마켓,오픈,기타 종합몰 교육/도서/완구/오락 가전 의류/패션/잡화/뷰티,유아용품,인터넷 카다로그 기타
1169,20151005,언더위즈,폐업처리,경기도 양주시 고암길 223， 704동 1304호 (고암동， 하늘빛마을주공7단지아파트),-,쿠팡,오픈,의류/패션/잡화/뷰티,-,인터넷
1170,20150622,줄눈 홈(home)아트,정상영업,경기도 양주시 옥정동로 162， 1310동 402호 (옥정동， 율정마을13단지아파트),-,11번가,-,의류/패션/잡화/뷰티,-,인터넷
1171,20130719,아이슈즈몰,정상영업,경기도 양주시 고암길 306-40， 218동 204호 (고암동， 주원마을주공2단지아파트),카페24,www.ishoesmall.co.kr,-,의류/패션/잡화/뷰티,-,인터넷
1172,20150924,도로시바토스(Dorothy Bartos),정상영업,경기도 양주시 백석읍 호명로 52， 1층,-,도로시바토스.com,개인,의류/패션/잡화/뷰티,-,인터넷
1173,20150930,고원니트(주),정상영업,경기도 양주시 은현면 화합로691번길 83-13,-,-,-,의류/패션/잡화/뷰티,-,인터넷
1174,20150803,주식회사 코코넛,타시군구이관,경기도 양주시 고덕로 175-19 (덕계동),-,www.icoconut.co.kr,-,기타,1회용 식품용기,인터넷
1175,20130522,오즈코,정상영업,경기도 양주시 고덕로139번길 136-60 (덕계동),카페24,www.ozko.kr www.hojubaby.com,-,기타,아기용품 구매대행 배송대행,인터넷
1176,20150917,텐투식스(10 to 6),타시군구이관,경기도 양주시 평화로1466번길 9， 101호 (덕계동),-,http://www.les-poir.com,개인,의류/패션/잡화/뷰티,-,인터넷
1177,20150917,안태울영농조합법인,정상영업,경기도 양주시 광적면 화합로81번길 375-66,-,안태울캠핑장.kr,개인,레져/여행/공연,캠핑장,인터넷
1178,20150917,제일C&M,정상영업,경기도 양주시 은현면 운하로 169,-,http://www.cozmio.co.kr,개인,의류/패션/잡화/뷰티,-,인터넷
1179,20150917,리베바움,타시군구이관,경기도 양주시 장흥면 호국로73번길 198-6,지마켓,http://www.gmarket.co.kr,오픈,가구/수납용품,-,인터넷
1180,20150916,(주)럭셔리모터스,정상영업,경기도 양주시 광적면 덕도리 403번지 1호,-,http://www.lmcar.kr,개인,자동차/자동차용품,-,인터넷
1181,20150916,러필(Love Feel),정상영업,경기도 양주시 고암길 200， 103동 201호 (고암동， 중흥에스클래스아파트),-,http://www.iufeel.co.kr,개인,종합몰 의류/패션/잡화/뷰티,-,인터넷
1182,20101130,주식회사 오토세븐,정상영업,경기도 양주시 부흥로 2008-25 (만송동),미리내 호스팅,www.iauto7.co.kr,-,자동차/자동차용품,-,인터넷
1183,20150915,와이엠(YM)조은꿈,정상영업,경기도 양주시 평화로1267번길 52 (산북동),-,http://gooddream7.com,개인,기타,전기매트  온수매트,인터넷
1184,20150915,와니샵,폐업처리,경기도 양주시 화합로1325번길 22-33， 202동 1703호 (덕정동， 서희스타힐스아파트2단지),-,네이버,오픈,의류/패션/잡화/뷰티,-,인터넷
1185,20150915,NMK2015,폐업처리,경기도 양주시 삼숭로38번길 78-12 (삼숭동， 양주자이2단지아파트),-,NMK2015,개인,의류/패션/잡화/뷰티,-,인터넷
1186,20150914,라이프 앤드 죠이 글로벌,정상영업,경기도 양주시 덕정12길 15， A동 406호 (덕정동， 금정원룸),-,http://cafe.naver.com/dronspace,개인,기타,잡화,인터넷
1187,20150914,디자인그리드,정상영업,경기도 양주시 고읍로 118-16， 903동 1303호 (광사동， 해동마을유승한내들아파트),-,http://www.beagle.kr,개인,기타,홈페이지 제작,인터넷
1188,20150914,브라운샵,정상영업,경기도 양주시 덕정길 105 (덕정동， 일성트루엘),지마켓,http://www.gmarket.co.kr,오픈,의류/패션/잡화/뷰티,-,인터넷
1189,20150914,엠앤에이,정상영업,경기도 양주시 광적면 삼일로 123-20,옥션,http://www.auction.co.kr,오픈,기타,인테리어,인터넷
1190,20150909,낸시프랜즈(Nancy friends),정상영업,경기도 양주시 고읍남로39번길 81， 103호 (광사동),-,http://cafe.naver.com/nancyfriends,개인,종합몰 의류/패션/잡화/뷰티 건강/식품,-,인터넷
1191,20150910,주식회사 아시아무역,정상영업,경기도 양주시 부흥로1907번길 49-48 (광사동， 우측창고),오픈마켓,오픈마켓,오픈,종합몰 교육/도서/완구/오락 가구/수납용품 의류/패션/잡화/뷰티,-,인터넷
1192,20120813,애드마켓,정상영업,경기도 양주시 청담로39번길 60-6， F동 (고읍동),-,AD-market.kr,-,종합몰,-,인터넷
1193,20150910,티에이치컴퍼니,정상영업,경기도 양주시 고읍로 11-7， 107동 903호 (고읍동， 산내들마을한양수자인아파트),11번가,오픈마켓,오픈,의류/패션/잡화/뷰티,렌터카중개,인터넷
1194,20150908,우리스포츠산업,정상영업,경기도 양주시 은현면 화합로1080번길 349-22， 1층,-,www.woorispi.com,오픈,교육/도서/완구/오락 레져/여행/공연,-,인터넷
1195,20150907,올라(HOLA),정상영업,경기도 양주시 백석읍 꿈나무로 311， 201동 1206호 (동화은하수2단지초록마을아파트),-,blog.naver.com/tjdgid82,개인,의류/패션/잡화/뷰티,-,인터넷
1196,20150904,75페이지(page),정상영업,경기도 양주시 고읍로 117-7， 204동 1301호 (만송동， 은빛마을한양수자인아파트),-,http://75_page.blog.me,개인,의류/패션/잡화/뷰티,-,인터넷
1197,20150903,(주) 이레아,정상영업,경기도 양주시 광적면 부흥로 847， 501호 (양주테크노시티),옥션 지마켓 등,오픈마켓,오픈,기타,간판 IT필름 등,인터넷
1198,20150903,주식회사 안녕미미,정상영업,경기도 양주시 고읍남로191번길 85-59， 1층 (광사동， 삼성아트빌),카페24,www.himimi.co.kr,개인,종합몰,-,인터넷
1199,20120725,뚜부샵,폐업처리,경기도 양주시 부흥로 2096， 302동 13층 1302호 (삼숭동， TS푸른솔3차아파트),-,오픈마켓입점(지마켓 옥션 등),-,컴퓨터/사무용품,-,인터넷
1200,20150901,나이스피규어,정상영업,경기도 양주시 덕정8길 27， 비동 301호 (덕정동， 고려주택),-,www.nicefigure.kr,개인,의류/패션/잡화/뷰티,-,인터넷
1201,20150831,엣지비타민,정상영업,경기도 양주시 옥정동로 162， 1302동 202호 (옥정동， 율정마을13단지아파트),옥션 지마켓,오픈마켓,오픈,건강/식품,-,인터넷
1202,20130415,주식회사 엠에스트레이드,정상영업,경기도 양주시 고덕로139번길 90 (덕계동),-,dslavoratories.co.kr,-,기타,탈모제,인터넷
1203,20150827,감악산 바베큐 체험장,정상영업,경기도 양주시 남면 감악산로 632-39,-,핀란드하우스,개인,레져/여행/공연,-,인터넷
1204,20150826,불타는 리봉이,폐업처리,경기도 양주시 백석읍 호명로 87， 102동 106호 (샘터마을 태영아파트),네이버,http://cafe.naver.com/skybluekzfzl,개인,기타,리본재료,인터넷
1205,20150825,장례다이렉트협동조합,정상영업,경기도 양주시 장흥면 호국로 565,-,www.funeral-dc.com,개인,기타,조합회원권,인터넷 TV홈쇼핑
1206,20150811,중고폰매입 의정부점(아이컴 닥터),정상영업,경기도 양주시 새터로 37， 116동 704호 (옥정동， 세창리베하우스아파트),지마켓 옥션 등,오픈마켓,오픈,컴퓨터/사무용품,-,인터넷
1207,20150824,파격마켓트,정상영업,경기도 양주시 삼숭로38번길 91， 404동 301호 (삼숭동， 양주자이4단지아파트),옥션 지마켓,오픈마켓,오픈,종합몰 의류/패션/잡화/뷰티 가전 자동차/자동차용품,-,인터넷
1208,20150824,강성어패럴,정상영업,경기도 양주시 만송로 377 (만송동),-,-,오픈,의류/패션/잡화/뷰티,-,인터넷
1209,20150824,아이엠키즈,정상영업,경기도 양주시 부흥로 2021-7， 103동 202호 (고읍동， TS푸른솔1차아파트),카카오스토리,카카오스토리,개인,의류/패션/잡화/뷰티,-,인터넷
1210,20150106,아미첸,정상영업,경기도 양주시 청담로39번길 22-17 (고읍동),-,오픈마켓(옥션 지마켓),-,기타,캠핑용품,인터넷
1211,20150821,바꿔써 살렘하우스,폐업처리,경기도 양주시 남면 삼육사로355번길 56,네이버,오픈마켓,오픈,기타,가정용생활용품(전자기기),인터넷
1212,20150820,어반크루,정상영업,경기도 양주시 화합로1426번길 39， 105동 1004호 (덕정동， 은동마을주공1단지아파트),카페24,urbancrew.co.kr,개인,의류/패션/잡화/뷰티,-,인터넷
1213,20150820,리든(LEEDEN),정상영업,경기도 양주시 마전로113번길 10 (마전동),-,www.frommlouis.co.kr,개인,의류/패션/잡화/뷰티,선글라스 안경,인터넷
1214,20150819,쁘디쉬,정상영업,경기도 양주시 평화로1559번길 23， 101동 202호 (회정동， 회정그린빌라),네이버,http://blog.naver.com/petitdish,오픈,기타,주방도구,인터넷
1215,20150819,농업회사법인 주식회사 뜰안에 행복,정상영업,경기도 양주시 남면 감악산로 183,옥션 지마켓 등,오픈마켓,오픈,건강/식품,-,인터넷
1216,20150819,포엔,정상영업,경기도 양주시 부흥로 1901， 803동 204호 (광사동， 신도8차푸른숲아파트),지마켓 옥션 등,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1217,20150819,올라 까삐딴(HOLA CAPITAN),정상영업,경기도 양주시 삼숭로38번길 91， 410동 404호 (삼숭동， 양주자이4단지아파트),메일플러그,www.holacapitan.com,개인,의류/패션/잡화/뷰티,-,인터넷
1218,20150817,상아텍,정상영업,경기도 양주시 광적면 광적로156번길 27-12,11번가,오픈마켓,오픈,기타,생활용품,인터넷
1219,20150817,두해브(DO HAVE),정상영업,경기도 양주시 백석읍 중앙로93번길 144-10,-,www.attibonbon.com,개인,의류/패션/잡화/뷰티,-,인터넷
1220,20150813,나나케이스,정상영업,경기도 양주시 백석읍 양주산성로 543， 105동 102호 (가야1차아파트),네이버,storefarm.naver.com/ma-favorite,개인,의류/패션/잡화/뷰티,-,인터넷
1221,20150813,꽃이피어나,폐업처리,경기도 양주시 고암길 335， 1층 107호 (덕정동， 세원프라자),-,.,개인,의류/패션/잡화/뷰티,-,인터넷
1222,20150813,사군자식품,정상영업,경기도 양주시 남면 은남로 53-33,네이버,storefarm.naver.com.sagunza,개인,건강/식품,떡,인터넷
